Nintendo,1788.8099999999977,2.533725212464586
Microsoft Game Studios,248.3200000000001,1.3001047120418854
Take-Two Interactive,403.81999999999965,0.95691943127962
Sony Computer Entertainment,606.4799999999988,0.8827947598253257
Activision,731.1599999999987,0.7422944162436536
Ubisoft,471.6099999999993,0.5054769560557334
Bethesda Softworks,85.05000000000001,1.1190789473684213
Electronic Arts,1116.9599999999898,0.8237168141592845
Sega,270.349999999999,0.4237460815047006
SquareSoft,57.65,1.1086538461538462
Atari,156.83000000000038,0.42732970027248063
505 Games,55.32000000000005,0.2896335078534034
Capcom,200.0200000000001,0.5181865284974095
GT Interactive,25.229999999999993,0.5606666666666665
Konami Digital Entertainment,282.389999999998,0.3385971223021559
Square Enix,144.3500000000001,0.6168803418803424
Sony Computer Entertainment Europe,23.370000000000005,1.5580000000000003
Virgin Interactive,43.87000000000001,0.7075806451612905
LucasArts,85.83000000000001,0.9536666666666668
Warner Bros. Interactive Entertainment,151.79000000000016,0.6459148936170219
Universal Interactive,17.770000000000003,0.772608695652174
Eidos Interactive,98.64999999999995,0.49823232323232297
RedOctane,8.68,2.17
Vivendi Games,57.94,0.35329268292682925
Enix Corporation,33.739999999999974,1.1246666666666658
Namco Bandai Games,254.62000000000072,0.27116080937167275
Palcom,4.17,0
Hasbro Interactive,15.219999999999999,0.9512499999999999
THQ,338.43999999999886,0.47334265734265574
Fox Interactive,7.390000000000001,0.9237500000000001
Acclaim Entertainment,66.56999999999992,0.3579032258064512
MTV Games,20.72,0.5053658536585366
Disney Interactive Studios,117.37000000000005,0.5383944954128442
N/A,14.799999999999994,0.27407407407407397
Codemasters,47.26999999999999,0.31513333333333327
Majesco Entertainment,15.789999999999992,0.17163043478260862
Red Orb,5.24,2.62
Level 5,12.240000000000002,0.4533333333333334
Arena Entertainment,4.72,2.36
Midway Games,69.66999999999994,0.3518686868686866
JVC,2.8,0.35
Deep Silver,25.370000000000005,0.20966942148760334
NCSoft,2.5799999999999996,0.42999999999999994
989 Studios,13.32,0.9514285714285714
UEP Systems,2.25,0
Parker Bros.,4.97,0.71
Maxis,3.39,1.1300000000000001
Imagic,4.82,1.205
Tecmo Koei,53.54000000000005,0.15385057471264382
ASCII Entertainment,10.889999999999999,0.5445
Valve Software,3.1999999999999997,1.0666666666666667
Mindscape,7.64,0.2464516129032258
Infogrames,16.340000000000003,0.26354838709677425
Unknown,34.41000000000005,0.17119402985074653
Square,3.64,0.6066666666666667
Valve,1.7,0
Banpresto,17.400000000000013,0.23835616438356183
Hello Games,1.7,0
D3Publisher,23.74000000000001,0.12902173913043483
Activision Value,6.9499999999999975,0.23965517241379303
Oxygen Interactive,3.4299999999999984,0.15590909090909083
Red Storm Entertainment,2.32,0.7733333333333333
Video System,2.18,0.545
Global Star,7.649999999999998,0.1961538461538461
Gotham Games,3.7199999999999998,0.5314285714285714
Westwood Studios,1.55,0
GungHo,3.1000000000000005,0.2384615384615385
Crave Entertainment,9.860000000000003,0.13887323943661975
Hudson Soft,22.940000000000023,0.28320987654321017
Coleco,3.0599999999999996,0.6119999999999999
Rising Star Games,16.82000000000001,0.19333333333333347
TDK Mediactive,8.309999999999999,0.2308333333333333
ASC Games,2.02,0.6733333333333333
Accolade,1.68,0.5599999999999999
Zoo Games,4.669999999999998,0.14151515151515145
Sony Online Entertainment,3.5100000000000007,0.4387500000000001
3DO,10.120000000000001,0.28111111111111114
Natsume,3.689999999999999,0.20499999999999996
RTL,1.9700000000000004,0.24625000000000005
Alchemist,2.629999999999998,0.06116279069767438
Black Label Games,1.2,0
SouthPeak Games,6.2499999999999964,0.16891891891891883
Focus Home Interactive,8.499999999999991,0.13934426229508182
Ocean,3.6100000000000003,0.2578571428571429
Zoo Digital Publishing,12.809999999999988,0.1231730769230768
Psygnosis,7.27,0.2271875
City Interactive,4.449999999999999,0.23421052631578942
Empire Interactive,11.289999999999996,0.21301886792452823
Success,1.9400000000000004,0.10210526315789475
Compile,2.4599999999999995,0.4099999999999999
Russel,1.2100000000000002,0.2016666666666667
Atlus,12.359999999999998,0.18447761194029846
Mastertronic,1.6100000000000005,0.12384615384615388
Slightly Mad Studios,1.48,0.49333333333333335
Taito,2.8399999999999985,0.14947368421052623
Agetec,1.9400000000000002,0.24250000000000002
Microprose,2.02,0.33666666666666667
Play It,4.31,0.30785714285714283
GSP,3.539999999999999,0.22124999999999995
Tomy Corporation,4.95,0.275
Sammy Corporation,2.7300000000000004,0.24818181818181823
Koch Media,4.5299999999999985,0.266470588235294
Game Factory,3.7499999999999987,0.11718749999999996
Titus,3.319999999999999,0.1747368421052631
Marvelous Entertainment,2.2499999999999996,0.18749999999999997
Genki,1.4600000000000002,0.18250000000000002
Mojang,2.9099999999999997,0.582
CTO SpA,0.9,0.45
TalonSoft,0.87,0
Crystal Dynamics,1.71,0.34199999999999997
Square Enix ,0.99,0.495
"mixi, Inc",0.87,0
Pinnacle,1.4000000000000001,0.28
SCi,3.52,0.20705882352941177
Quelle,0.87,0
Rage Software,1.4200000000000004,0.2028571428571429
Ubisoft Annecy,4.460000000000001,0.3185714285714286
Interplay,6.6499999999999995,0.22166666666666665
Scholastic Inc.,2.7699999999999996,0.27699999999999997
Mystique,0.82,0
ChunSoft,3.999999999999999,0.22222222222222218
Square EA,0.8,0
20th Century Fox Video Games,1.9400000000000002,0.388
Hudson Entertainment,1.6900000000000004,0.15363636363636368
Men-A-Vision,0.77,0
Nobilis,1.9100000000000001,0.14692307692307693
Avanquest Software,1.62,0.2025
Big Ben Interactive,0.9800000000000001,0.14
